x,y,label
5.042399059836303,4.926845978375119,1
4.993643644757811,4.959848305188781,1
5.948305271101694,4.851721439485002,1
4.666908918044745,5.068753240656459,1
5.081772808612028,4.801801925933085,1
5.043708782477859,5.152939289630937,1
4.810727489391705,4.985484506252004,1
5.038977471488438,4.980283540121814,1
5.113672577740229,4.789585354112733,1
4.898971413611345,4.589682929065333,1
4.986832659784543,5.064477965763442,1
5.178354824986397,4.85774030367509,1
5.017620107990781,4.809853018599264,1
5.266162617747418,5.445871240725003,1
4.985889546666149,4.875248572810595,1
4.993004134339989,5.358409881462005,1
4.355314226343119,4.966025954295231,1
4.4013288726663236,4.4530897163276615,1
4.481372880579253,4.5802883712860725,1
4.99380400062018,5.288491018473987,1
5.78090860417419,5.417552159891278,1
5.129921762856583,4.667702257274618,1
5.440822871246115,5.105629666347316,1
4.935723566454734,4.983549885311922,1
4.895347010293574,5.934526907650601,1
5.04565647820262,4.892742351431127,1
4.889323245655539,4.695796934269034,1
5.010079459921511,4.992141736411956,1
5.811854517704701,5.207393478233722,1
5.050219423486361,5.053786779479839,1
5.073702294908625,5.0332610149180885,1
5.707261722645152,5.174858454119761,1
4.755223141960169,4.776998018677648,1
5.6328442005970345,5.44903805793464,1
4.691117938109121,5.302698382742393,1
5.502227903410759,4.238363695892534,1
5.006016719406587,4.988263855552263,1
5.217459152123803,5.057128750085105,1
5.620271453989534,4.705037076649072,1
5.389277430570087,5.115792292877942,1
5.0214055491263085,5.059075643822359,1
4.989131074170051,5.00583960716072,1
5.275997196201511,4.522681167700082,1
4.41306834863624,5.056623195289333,1
5.502672733394843,4.346419414360726,1
4.4373872514846555,4.646684565744601,1
4.37614974382404,4.677830248881698,1
4.654718056712369,5.071539899734495,1
5.008089494274525,5.113776407691506,1
5.03184115137668,5.395456365016348,1
5.017732496228999,5.149828087464598,1
5.3837269649059865,4.973407075107211,1
4.680614493574229,5.066035195010236,1
5.812966399487664,5.377453089861657,1
5.294824169254138,5.784268813286267,1
4.552570616688494,4.37729505328732,1
5.719011976655951,5.392079197519411,1
5.225866616165911,4.452438635032335,1
5.04214858965895,4.990297078304786,1
4.824607634881819,4.0262545845983,1
5.5805680619865266,5.099135669330118,1
5.037364965170349,4.713387427636612,1
5.180237085008188,4.732415313952439,1
4.890422830465251,5.09471204833994,1
5.215723723829839,4.898077403158262,1
5.4838693296864,5.104294747689476,1
4.969812448261431,5.02507054251383,1
5.069913809139437,5.646013610880122,1
5.181669915331865,5.347500439504367,1
5.112124902344985,5.336796552217581,1
4.7115631383510275,5.4707634945067865,1
5.865807479543376,5.498675333093207,1
5.761482489991661,5.2871424240656895,1
5.779289655714139,5.053849606138174,1
